Id,SalePrice
1461,135926.06476171408
1462,65279.35532231722
1463,201913.01806588564
1464,202894.0832024375
1465,173568.4826756874
1466,181256.02345140371
1467,179306.8398345271
1468,168380.31043775473
1469,187564.35162802134
1470,130684.1234300891
1471,195898.28439398203
1472,108583.05700282846
1473,113783.3855902711
1474,150256.6129920045
1475,97962.84381286893
1476,285004.6114781657
1477,234298.0736435214
1478,261613.7561540166
1479,253560.75334306154
1480,398698.42266841326
1481,291968.9725493947
1482,193913.71844895277
1483,185383.1491415063
1484,163079.89011539612
1485,168646.06126959715
1486,196175.03347392473
1487,298169.347579197
1488,236361.66432030592
1489,192095.34582646284
1490,236202.15290470514
1491,196786.85673017893
1492,92576.97472305689
1493,196435.00204725657
1494,274280.520736889
1495,269589.65085549746
1496,215721.5893056551
1497,186857.25798763428
1498,160318.86639715824
1499,156287.2811352769
1500,164654.11163033638
1501,207862.6810934106
1502,145912.34514261875
1503,250682.8427975932
1504,227103.11049290095
1505,225725.1539809266
1506,207441.70841486845
1507,270896.2264861623
1508,218673.53638358507
1509,161533.44026847277
1510,164622.04488499556
1511,159551.9521479169
1512,200407.3981741229
1513,155572.43835981283
1514,199081.91840310488
1515,232823.45143146906
1516,166818.08548255358
1517,161253.97173138056
1518,159836.0539505044
1519,239102.15481384192
1520,134804.25480719004
1521,142408.633741335
1522,190458.46215684805
1523,111403.61815555487
1524,107533.10663826857
1525,122740.69133742247
1526,106087.21983571444
1527,109788.67135889921
1528,142475.97525782976
1529,140746.23260136042
1530,205764.96946461592
1531,141953.0934635559
1532,88537.3396675745
1533,150079.4426340619
1534,118979.04307432566
1535,183272.05429418478
1536,116270.34636600409
1537,98271.04277654085
1538,154371.8940726081
1539,177423.71422262583
1540,134399.08428640757
1541,147738.63899059687
1542,163468.06007631216
1543,188818.79613883886
1544,67688.66018970404
1545,99479.04821010027
1546,115016.54187198076
1547,134142.86508210097
1548,124178.27099438105
1549,120814.81190247927
1550,134561.55170185957
1551,115464.3695598403
1552,162944.97613413725
1553,142021.06136067305
1554,109460.35155202542
1555,186809.80672974978
1556,87918.50827045832
1557,113560.94622333441
1558,82543.30789466295
1559,114620.2524468461
1560,141359.48964829836
1561,177148.0293452302
1562,131470.30289764795
1563,116662.47454781923
1564,185191.4548568288
1565,153227.56963355932
1566,230369.34441657458
1567,74682.2718675891
1568,241626.38144846354
1569,166044.19722981844
1570,131482.07810075674
1571,124877.46261842642
1572,158635.96271212492
1573,236048.46155400667
1574,146735.4749644557
1575,237422.17521913443
1576,250404.0656576911
1577,186696.06902535353
1578,131030.67375274096
1579,158964.16440661345
1580,195634.73327572737
1581,150218.2901849309
1582,122392.08508642111
1583,297354.558108286
1584,227247.76880033407
1585,150513.81307138596
1586,64917.53484673891
1587,87506.49383409414
1588,158032.1676026145
1589,114065.65423770342
1590,134440.79119952116
1591,88147.31393249426
1592,135712.02487655077
1593,102470.63614364062
1594,156738.60429520998
1595,123511.02067609224
1596,217699.67757518683
1597,212547.4493107358
1598,187236.7415289441
1599,163004.77691139374
1600,161433.36767555866
1601,53462.37153466139
1602,123723.1615161458
1603,77324.41143103037
1604,243557.18148930464
1605,234834.00846345816
1606,169716.08701439295
1607,218888.0699759284
1608,207417.07000596914
1609,177533.89301617537
1610,157857.96940441523
1611,150319.1442217389
1612,194276.7280607978
1613,193212.3806126872
1614,126296.31938918028
